envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
380	4836000	5100000	4860000	4740000	4860000	4620000	
381	4881000	5097000	4857000	4737000	4977000	4737000	
382	4926000	5094000	4854000	4734000	5094000	4854000	
383	4947000	5091000	4851000	4731000	5091000	4971000	
384	4992000	5208000	4848000	4848000	5088000	4968000	
385	5013000	5205000	4965000	4845000	5085000	4965000	
386	5058000	5202000	4962000	4842000	5202000	5082000	
387	5079000	5199000	4959000	4959000	5199000	5079000	
388	5076000	5196000	4956000	4956000	5196000	5076000	
389	5073000	5193000	4953000	4953000	5193000	5073000	
390	5166000	5310000	4950000	5070000	5310000	5190000	
391	5187000	5307000	4947000	5067000	5307000	5307000	
392	5208000	5304000	5064000	5064000	5304000	5304000	
393	5277000	5421000	5181000	5061000	5301000	5421000	
394	5274000	5418000	5178000	5058000	5298000	5418000	
395	5271000	5415000	5175000	5055000	5295000	5415000	
396	5268000	5412000	5172000	5052000	5292000	5412000	
397	5289000	5529000	5169000	5049000	5289000	5409000	
398	5286000	5526000	5166000	5046000	5286000	5406000	
399	5283000	5523000	5163000	5043000	5283000	5403000	
400	5280000	5520000	5160000	5040000	5280000	5400000	
401	5349000	5517000	5157000	5157000	5397000	5517000	
402	5346000	5514000	5154000	5154000	5394000	5514000	
403	5367000	5511000	5271000	5151000	5391000	5511000	
404	5364000	5508000	5268000	5148000	5388000	5508000	
405	5361000	5505000	5265000	5145000	5385000	5505000	
406	5382000	5502000	5382000	5142000	5382000	5502000	
407	5379000	5499000	5379000	5139000	5379000	5499000	
408	5400000	5496000	5376000	5136000	5496000	5496000	
409	5421000	5493000	5373000	5253000	5493000	5493000	
410	5418000	5490000	5370000	5250000	5490000	5490000	
411	5463000	5487000	5487000	5367000	5487000	5487000	
412	5460000	5484000	5484000	5364000	5484000	5484000	
413	5457000	5481000	5481000	5361000	5481000	5481000	
414	5454000	5478000	5478000	5358000	5478000	5478000	
415	5451000	5475000	5475000	5355000	5475000	5475000	
416	5448000	5472000	5472000	5352000	5472000	5472000	
417	5493000	5589000	5469000	5349000	5589000	5469000	
418	5514000	5586000	5466000	5346000	5706000	5466000	
419	5535000	5583000	5583000	5343000	5703000	5463000	
420	5580000	5580000	5700000	5460000	5700000	5460000	
421	5601000	5577000	5697000	5457000	5697000	5577000	
422	5622000	5574000	5694000	5454000	5694000	5694000	
423	5643000	5571000	5691000	5451000	5811000	5691000	
424	5664000	5568000	5808000	5448000	5808000	5688000	
425	5685000	5565000	5805000	5445000	5805000	5805000	
426	5706000	5682000	5802000	5442000	5802000	5802000	
427	5727000	5679000	5799000	5439000	5919000	5799000	
428	5724000	5676000	5796000	5436000	5916000	5796000	
429	5721000	5673000	5793000	5433000	5913000	5793000	
430	5742000	5670000	5790000	5430000	5910000	5910000	
431	5763000	5667000	5787000	5547000	5907000	5907000	
432	5760000	5664000	5784000	5544000	5904000	5904000	
433	5805000	5661000	5901000	5541000	6021000	5901000	
434	5826000	5658000	5898000	5538000	6018000	6018000	
435	5847000	5775000	5895000	5535000	6015000	6015000	
436	5868000	5772000	6012000	5532000	6012000	6012000	
437	5865000	5769000	6009000	5529000	6009000	6009000	
438	5862000	5766000	6006000	5526000	6006000	6006000	
439	5859000	5763000	6003000	5523000	6003000	6003000	
440	5904000	5880000	6e+06	5520000	6120000	6e+06	
441	5901000	5877000	5997000	5517000	6117000	5997000	
442	5898000	5874000	5994000	5514000	6114000	5994000	
443	5895000	5871000	5991000	5511000	6111000	5991000	
444	5892000	5868000	5988000	5508000	6108000	5988000	
445	5889000	5865000	5985000	5505000	6105000	5985000	
446	5958000	5982000	5982000	5622000	6102000	6102000	
447	5955000	5979000	5979000	5619000	6099000	6099000	
448	5952000	5976000	5976000	5616000	6096000	6096000	
449	5973000	5973000	5973000	5613000	6093000	6213000	
450	5970000	5970000	5970000	5610000	6090000	6210000	
451	5967000	5967000	5967000	5607000	6087000	6207000	
452	5988000	6084000	5964000	5604000	6084000	6204000	
453	5985000	6081000	5961000	5601000	6081000	6201000	
454	6006000	6198000	5958000	5598000	6078000	6198000	
455	6027000	6195000	5955000	5715000	6075000	6195000	
456	6048000	6192000	5952000	5712000	6192000	6192000	
457	6045000	6189000	5949000	5709000	6189000	6189000	
458	6042000	6186000	5946000	5706000	6186000	6186000	
459	6039000	6183000	5943000	5703000	6183000	6183000	
460	6060000	6180000	6060000	5700000	6180000	6180000	
461	6057000	6177000	6057000	5697000	6177000	6177000	
462	6078000	6174000	6054000	5694000	6174000	6294000	
463	6123000	6291000	6171000	5691000	6171000	6291000	
464	6144000	6408000	6168000	5688000	6168000	6288000	
465	6189000	6525000	6165000	5685000	6165000	6405000	
466	6210000	6642000	6162000	5682000	6162000	6402000	
467	6231000	6639000	6159000	5679000	6279000	6399000	
468	6228000	6636000	6156000	5676000	6276000	6396000	
469	6225000	6633000	6153000	5673000	6273000	6393000	
470	6246000	6630000	6150000	5670000	6270000	6510000	
471	6243000	6627000	6147000	5667000	6267000	6507000	
472	6240000	6624000	6144000	5664000	6264000	6504000	
473	6237000	6621000	6141000	5661000	6261000	6501000	
474	6234000	6618000	6138000	5658000	6258000	6498000	
475	6255000	6615000	6135000	5775000	6255000	6495000	
476	6276000	6732000	6132000	5772000	6252000	6492000	
